"Model","Covariate","Sample_Size","N_False_Covariates","n_sims","true_effect","mean_estimate","bias","rmse_estimate","mean_SE","empirical_SE","power_or_type_I","coverage","mean_RMSE_data","mean_RMSE_latent","effect_type","performance_metric"
"VAST_GMRF","real",100,1,50,1,0.966618075156437,-0.0333819248435629,0.166181261518462,0.186206693719727,0.164446687513893,1,0.94,0.282501693176656,0.208499664914089,"Real Effect","Power"
"VAST_GMRF","real",100,3,50,1,1.02363963566952,0.0236396356695225,0.202141324612261,0.187179311527552,0.202792451308136,1,0.88,0.282338953827523,0.205506649518805,"Real Effect","Power"
"VAST_GMRF","real",100,5,50,1,0.947851159591447,-0.0521488404085533,0.224557332450048,0.18458941413157,0.220635663299284,1,0.92,0.277742898942309,0.205427546501677,"Real Effect","Power"
"VAST_GMRF","real",200,1,50,1,0.988868499839251,-0.0111315001607492,0.171124419504581,0.151388923136275,0.172495657014099,1,0.92,0.289079452079201,0.207277725590822,"Real Effect","Power"
"VAST_GMRF","real",200,3,50,1,0.976755597249826,-0.0232444027501743,0.146984823887622,0.155549526106315,0.146608726088765,1,0.96,0.285729541424451,0.213470161534189,"Real Effect","Power"
"VAST_GMRF","real",200,5,50,1,1.01422219037284,0.0142221903728351,0.175348600688513,0.158281897124653,0.176545250788395,1,0.92,0.278315818326817,0.194670850929556,"Real Effect","Power"
"VAST_RSR","false_1",50,1,50,0,0.0151041010317907,0.0151041010317907,0.290987798111204,0.115356254199105,0.293545818802373,0.448979591836735,0.551020408163265,0.279279915777861,0.212774839836615,"No Effect","Type I Error"
"VAST_RSR","false_1",50,3,50,0,0.0260317253318668,0.0260317253318668,0.309809683146971,0.124336766996002,0.311848323034551,0.52,0.48,0.271924044903568,0.199819099711912,"No Effect","Type I Error"
"VAST_RSR","false_1",50,5,50,0,-0.0124863614663573,-0.0124863614663573,0.293507902261007,0.125566371259819,0.296219340042635,0.38,0.62,0.254670121593669,0.190895027401086,"No Effect","Type I Error"
"VAST_RSR","false_1",100,1,50,0,-0.0166670762318752,-0.0166670762318752,0.263994151857775,0.0969582471749964,0.266142360219203,0.52,0.48,0.276692512178876,0.200624226144865,"No Effect","Type I Error"
"VAST_RSR","false_1",100,3,50,0,0.0372646027124507,0.0372646027124507,0.250581781851567,0.0996770332136044,0.250311191586103,0.48,0.52,0.271582518292441,0.191649875601707,"No Effect","Type I Error"
"VAST_RSR","false_1",100,5,50,0,-0.00878106267107522,-0.00878106267107522,0.284703597511987,0.10087322829788,0.287457239720961,0.44,0.56,0.260164627840623,0.182817989514798,"No Effect","Type I Error"
"VAST_RSR","false_1",200,1,50,0,-0.0779385524308752,-0.0779385524308752,0.319056273054379,0.0697327200230218,0.312531610516065,0.6,0.4,0.280195501216995,0.194677547198998,"No Effect","Type I Error"
"VAST_RSR","false_1",200,3,50,0,0.0214534175750349,0.0214534175750349,0.26998910615222,0.0775674371703259,0.2718678181134,0.62,0.38,0.271854876140381,0.194819589865348,"No Effect","Type I Error"
"VAST_RSR","false_1",200,5,50,0,0.0110016851567205,0.0110016851567205,0.240425379530853,0.0823076832070679,0.242611905688705,0.54,0.46,0.262879344803762,0.173401168024783,"No Effect","Type I Error"
"VAST_RSR","false_2",50,3,50,0,-0.058693019600605,-0.058693019600605,0.332924215788281,0.124861826183774,0.331036811117282,0.48,0.52,0.271924044903568,0.199819099711912,"No Effect","Type I Error"
"VAST_RSR","false_2",50,5,50,0,0.016235488232559,0.016235488232559,0.309024187336008,0.13229117770148,0.311730452115368,0.38,0.62,0.254670121593669,0.190895027401086,"No Effect","Type I Error"
"VAST_RSR","false_2",100,3,50,0,0.0249952050303014,0.0249952050303014,0.238115228594577,0.102435846200164,0.239203827809923,0.5,0.5,0.271582518292441,0.191649875601707,"No Effect","Type I Error"
"VAST_RSR","false_2",100,5,50,0,0.0482083068333197,0.0482083068333197,0.260505750098935,0.106444096773042,0.258605374620335,0.44,0.56,0.260164627840623,0.182817989514798,"No Effect","Type I Error"
"VAST_RSR","false_2",200,3,50,0,-0.0131808078585813,-0.0131808078585813,0.265252023669339,0.0720026708228239,0.267613989378538,0.54,0.46,0.271854876140381,0.194819589865348,"No Effect","Type I Error"
"VAST_RSR","false_2",200,5,50,0,-0.0125830057464106,-0.0125830057464106,0.316395494946651,0.0790135547820337,0.319354861781996,0.62,0.38,0.262879344803762,0.173401168024783,"No Effect","Type I Error"
"VAST_RSR","false_3",50,3,50,0,0.0817889634442564,0.0817889634442564,0.331587926276624,0.127013280622131,0.32460512638065,0.48,0.52,0.271924044903568,0.199819099711912,"No Effect","Type I Error"
"VAST_RSR","false_3",50,5,50,0,-0.0551902188113809,-0.0551902188113809,0.28670424880933,0.126057234573507,0.28419841809882,0.46,0.54,0.254670121593669,0.190895027401086,"No Effect","Type I Error"
"VAST_RSR","false_3",100,3,50,0,0.0473341219420554,0.0473341219420554,0.261165647944983,0.0990161587880237,0.259447955078442,0.42,0.58,0.271582518292441,0.191649875601707,"No Effect","Type I Error"
"VAST_RSR","false_3",100,5,50,0,-0.0109869361396937,-0.0109869361396937,0.287141139329242,0.102398908454203,0.289843943108513,0.5,0.5,0.260164627840623,0.182817989514798,"No Effect","Type I Error"
"VAST_RSR","false_3",200,3,50,0,0.0120956835360385,0.0120956835360385,0.288202361769123,0.0733071138191193,0.290871834755756,0.54,0.46,0.271854876140381,0.194819589865348,"No Effect","Type I Error"
"VAST_RSR","false_3",200,5,50,0,0.0100746444048282,0.0100746444048282,0.259461269597759,0.0796578698766332,0.261897806758856,0.46,0.54,0.262879344803762,0.173401168024783,"No Effect","Type I Error"
"VAST_RSR","false_4",50,5,50,0,-0.0129514121924894,-0.0129514121924894,0.330105577813257,0.128438166319809,0.333200242278932,0.58,0.42,0.254670121593669,0.190895027401086,"No Effect","Type I Error"
"VAST_RSR","false_4",100,5,50,0,0.069441169701112,0.069441169701112,0.250340157924107,0.0995473025934563,0.242958211364416,0.4,0.6,0.260164627840623,0.182817989514798,"No Effect","Type I Error"
"VAST_RSR","false_4",200,5,50,0,-0.0294808113497091,-0.0294808113497091,0.265861821160044,0.0789860995303959,0.266904763479521,0.62,0.38,0.262879344803762,0.173401168024783,"No Effect","Type I Error"
"VAST_RSR","false_5",50,5,50,0,-0.048222137603253,-0.048222137603253,0.29419388699464,0.131856982785233,0.293161285604936,0.48,0.52,0.254670121593669,0.190895027401086,"No Effect","Type I Error"
"VAST_RSR","false_5",100,5,50,0,0.0148719463692252,0.0148719463692252,0.258651429852212,0.0999722399454269,0.260845147932217,0.42,0.58,0.260164627840623,0.182817989514798,"No Effect","Type I Error"
"VAST_RSR","false_5",200,5,50,0,0.0212793532730747,0.0212793532730747,0.275889089744453,0.0798419489156757,0.277859858533006,0.52,0.48,0.262879344803762,0.173401168024783,"No Effect","Type I Error"
"VAST_RSR","real",50,1,50,1,1.04891251789903,0.0489125178990254,0.403522471411027,0.121706886894248,0.404613635972313,0.979591836734694,0.571428571428571,0.279279915777861,0.212774839836615,"Real Effect","Power"
"VAST_RSR","real",50,3,50,1,1.17971914376612,0.179719143766118,0.367008540013075,0.125660870638564,0.323242970797356,0.98,0.48,0.271924044903568,0.199819099711912,"Real Effect","Power"
"VAST_RSR","real",50,5,50,1,0.965213855403065,-0.0347861445969352,0.284798427675818,0.138733515915614,0.285535780935755,0.94,0.6,0.254670121593669,0.190895027401086,"Real Effect","Power"
"VAST_RSR","real",100,1,50,1,0.961743045914491,-0.0382569540855086,0.252746706485907,0.0956038932431247,0.252371007875093,1,0.5,0.276692512178876,0.200624226144865,"Real Effect","Power"
"VAST_RSR","real",100,3,50,1,1.01149009174389,0.0114900917438877,0.275648724190347,0.0981850292051338,0.278205248229306,1,0.52,0.271582518292441,0.191649875601707,"Real Effect","Power"
"VAST_RSR","real",100,5,50,1,0.94415436501728,-0.0558456349827205,0.334511766671702,0.100825656505094,0.333165686388828,0.96,0.5,0.260164627840623,0.182817989514798,"Real Effect","Power"
"VAST_RSR","real",200,1,50,1,0.986127179929351,-0.0138728200706489,0.251153435519285,0.0702938375358665,0.253315953872135,1,0.48,0.280195501216995,0.194677547198998,"Real Effect","Power"
"VAST_RSR","real",200,3,50,1,1.0321529546387,0.0321529546386993,0.301974445466839,0.078267756142294,0.303306192066573,1,0.48,0.271854876140381,0.194819589865348,"Real Effect","Power"
"VAST_RSR","real",200,5,50,1,1.01277106390267,0.0127710639026711,0.238217791382826,0.0800231595912983,0.240290249783307,1,0.52,0.262879344803762,0.173401168024783,"Real Effect","Power"
"VAST_Selected","false_1",50,1,2,0,0.568895469549911,0.568895469549911,0.57019973960585,0.151407338608083,0.0545103251167133,1,0,0.292883019715923,0.220825447397417,"No Effect","Type I Error"
"VAST_Selected","false_1",50,3,6,0,0.0156373260980085,0.0156373260980085,0.379161599087288,0.0873823248850223,0.414997338191368,0.833333333333333,0.166666666666667,0.269966527603547,0.232955412669012,"No Effect","Type I Error"
"VAST_Selected","false_1",50,5,17,0,-0.00511192273144873,-0.00511192273144873,0.503155510696393,0.122410602268497,0.518614061419491,0.941176470588235,0.0588235294117647,0.259139500075511,0.196624210099039,"No Effect","Type I Error"
"VAST_Selected","false_1",100,1,3,0,0.362996157814226,0.362996157814226,0.363345910045354,0.0827608098599329,0.0195207489147821,1,0,0.262324089033906,0.19437878909149,"No Effect","Type I Error"
"VAST_Selected","false_1",100,3,6,0,0.238688797315567,0.238688797315567,0.369071023046876,0.101823457826558,0.308365519646246,0.833333333333333,0.166666666666667,0.26597461120981,0.195917539893486,"No Effect","Type I Error"
"VAST_Selected","false_1",100,5,15,0,-0.0388705637435911,-0.0388705637435911,0.46624886414756,0.088555877511631,0.480933336551899,0.866666666666667,0.133333333333333,0.268737724961706,0.199009596821689,"No Effect","Type I Error"
"VAST_Selected","false_1",200,1,1,0,-0.624050792174381,-0.624050792174381,0.624050792174381,0.0677885580651363,NA,1,0,0.281151795150681,0.195960051894946,"No Effect","Type I Error"
"VAST_Selected","false_1",200,3,10,0,0.300021526294429,0.300021526294429,0.45390654694029,0.0660724535857456,0.359039207260492,1,0,0.271698759864504,0.203203736751906,"No Effect","Type I Error"
"VAST_Selected","false_1",200,5,17,0,-0.0703535535550546,-0.0703535535550546,0.36998088389932,0.0650427146482991,0.374409196535244,0.941176470588235,0.0588235294117647,0.277280454672998,0.199387902364304,"No Effect","Type I Error"
"VAST_Selected","false_2",50,3,2,0,0.112461757377964,0.112461757377964,0.79195104676143,0.0636297927033716,1.10863773487464,1,0,0.276310868180383,0.242960343183803,"No Effect","Type I Error"
"VAST_Selected","false_2",50,5,4,0,-0.432933493869348,-0.432933493869348,0.612414284709054,0.133133200377081,0.500159769142863,1,0,0.252936948596881,0.189725229912689,"No Effect","Type I Error"
"VAST_Selected","false_2",100,5,5,0,0.287021594525377,0.287021594525377,0.355222306869265,0.0796387453641458,0.233991163224255,0.6,0.4,0.258910307186513,0.197508878642306,"No Effect","Type I Error"
"VAST_Selected","false_2",200,3,1,0,-0.4275819374531,-0.4275819374531,0.4275819374531,0.0647076545792223,NA,1,0,0.245054068489727,0.159121046110082,"No Effect","Type I Error"
"VAST_Selected","false_2",200,5,4,0,0.352876605246476,0.352876605246476,0.461765656828815,0.0707843458572872,0.343910110922937,1,0,0.272342626013082,0.180196111515447,"No Effect","Type I Error"
"VAST_Selected","false_3",50,5,1,0,-0.321178144986513,-0.321178144986513,0.321178144986513,0.0839535865469784,NA,1,0,0.279894872757482,0.228422378533112,"No Effect","Type I Error"
"VAST_Selected","false_3",100,5,1,0,0.371758165588345,0.371758165588345,0.371758165588345,0.0661256126088327,NA,1,0,0.229575471175191,0.191973442797346,"No Effect","Type I Error"
"VAST_Selected","real",50,1,49,1,1.05202461114002,0.0520246111400195,0.421886129105058,0.119916718911625,0.423096603747238,0.979166666666667,0.583333333333333,0.285477145787189,0.219973510986084,"Real Effect","Power"
"VAST_Selected","real",50,3,50,1,1.13337877534209,0.13337877534209,0.43815664003042,0.116284419372783,0.421599654729885,0.98,0.5,0.291610095147565,0.219898111376008,"Real Effect","Power"
"VAST_Selected","real",50,5,50,1,0.932089178887962,-0.0679108211120385,0.401664086596458,0.114448163416825,0.399900700477128,0.98,0.56,0.278259090623953,0.2115289148332,"Real Effect","Power"
"VAST_Selected","real",100,1,50,1,0.97953851793797,-0.0204614820620298,0.240691026917047,0.0915929091768634,0.242254500579933,1,0.56,0.281233009375335,0.205262568088322,"Real Effect","Power"
"VAST_Selected","real",100,3,50,1,0.992172299877974,-0.00782770012202643,0.276650743152233,0.0867989300847688,0.279347564940608,1,0.48,0.284290035724266,0.203585277943549,"Real Effect","Power"
"VAST_Selected","real",100,5,50,1,0.974837813352829,-0.0251621866471713,0.310636787469881,0.0882886237604707,0.312759407585782,0.98,0.42,0.281508425493517,0.2044922875019,"Real Effect","Power"
"VAST_Selected","real",200,1,50,1,0.97647356705606,-0.0235264329439395,0.259662755645923,0.0680551210239247,0.26122016209369,1,0.36,0.287173391929415,0.203653602059039,"Real Effect","Power"
"VAST_Selected","real",200,3,50,1,1.00657980097333,0.00657980097332802,0.293401783689348,0.0725810680489305,0.296306020951799,1,0.42,0.28506853270953,0.210749514663713,"Real Effect","Power"
"VAST_Selected","real",200,5,50,1,0.998884532521728,-0.00111546747827189,0.257786039553537,0.0677516215342104,0.260400785918832,1,0.4,0.282707355257626,0.197703343331372,"Real Effect","Power"
